Restaurant,Adresse,PLZ,Ort,Kanton,Telefon,Website
01 Bar,Köngengasse 2/Limmatquai 86,8001,Zürich,ZH,043 268 00 66,www.01bar.ch
1001,Niederdorfstrasse 4,8001,Zürich,ZH,044 252 90 60,
1001 Take Away,Niederdorfstrasse 49,8001,Zürich,ZH,,
107.zuerich,Weinbergstrasse 107,8006,Zürich,ZH,044 521 04 00,
169 West,Weststrasse 169,8003,Zürich,ZH,044 461 00 33,www.169west.ch
1KOMMA7,Claridenstrasse 8,8002,Zürich,ZH,044 208 24 00,https://1komma7.ch/
2.Akt,Selnaustrasse 2,8001,Zürich,ZH,044 201 65 64,www.2akt.ch
20/20 by Mövenpick Wein Bar,Nüschelerstrasse 1,8001,Zürich,ZH,41442119139,www.wein-bar.ch
3 Mens Kebab,Freischützgasse 1,8004,Zürich,ZH,,www.3menskebab.ch
4. Akt,Heinrichstrasse 262,8005,Zürich,ZH,41442710368,www.4akt.ch
4Leoni dal 1995,Luisenstrasse 43,8005,Zürich,ZH,044 271 00 66,www.4leoni.ch
99,Bederstrasse 99,8002,Zürich,ZH,41442016076,www.ristorante-99.ch
A Fatt,Limmatstrasse 189,8005,Zürich,ZH,044 304 16 89,
A1 Move (Eldora),Bändliweg 20,8048,Zürich,ZH,044 419 00 55,www.eldora-a1move.ch
Aargauerhof,Hohlstrasse 43,8004,Zürich,ZH,044 242 46 16,www.restaurant-aargauerhof.ch
Acasa Suites,Binzmühlestrasse 72,8050,Zürich,ZH,044 552 78 78,https://acasasuites.com
Ach'i,Brauerstrasse 4,8004,Zürich,ZH,044 542 88 85,www.achi.restaurant.ch
Action Burger,Dubsstrasse 23,8003,Zürich,ZH,078 788 63 56,www.actionburger.ch
Addis Abeba,Strassburgstrasse 17,8004,Zürich,ZH,044 201 04 24,https://addisabebazurich.ch/
Adlisberg,Adlisbergstrasse 75,8044,Zürich,ZH,044 266 91 91,www.adlisberg.ch
AFGHAN ANAR,Fierzgasse 22,8005,Zürich,ZH,044 223 17 87,
Afghan Anar,Hottingenstrasse 27,8032,Zürich,ZH,044 324 71 78,www.afghananar.ch
African Queen,Stampfenbachstrasse 70,8006,Zürich,ZH,043 255 01 03,www.african-queen.ch
Ah-Hua,Ankerstrasse 110,8004,Zürich,ZH,41442403888,www.ah-hua.ch
AHOI! Ladencafé,Schiffbaustrasse 9b,8005,Zürich,ZH,079 37360 69,www.ahoi-ladencafe.ch
AIR,Check-in 2,8058,Zürich-Flughafen,ZH,,www.air-zrh.ch
AIR Bakery,Check-in 2,8058,Zürich-Flughafen,ZH,,www.air-zrh.ch
Akaraka,Bäckerstrasse 30,8004,Zürich,ZH,043 538 30 85,
Akaraka to go,St. Jakobstrasse 7,8004,Zürich,ZH,043 538 30 85,www.akaraka.ch
Akaras,Lutherstrasse 2,8004,Zürich,ZH,044 594 49 67,www.akaras.ch
Akt,Niederdorfstrasse 64,8001,Zürich,ZH,41442514133,www.akt-zuerich.ch
Al Forno,Universitätsstrasse 40,8006,Zürich,ZH,044 251 65 77,https://de-de.facebook.com/RistoranteAlFornoDaAngelo
Al Mouchtar,Badenerstrasse 541,8048,Zürich,ZH,052 202 96 05,
Al paso,Spitalgasse 12,8001,Zürich,ZH,044 252 33 44,www.alpaso.ch
Al Ventotto,Schaffhauserstrasse 29,8006,Zürich,ZH,044 501 17 73,www.al-ventotto.ch
ALBA Sourdough,Birmensdorferstrasse 431,8055,Zürich,ZH,,https://www.alba.pizza/
ALBA Sourdough,Stampfenbachstrasse 68,8006,Zürich,ZH,,https://www.alba.pizza/
Alba Sourdough Pizza,Bremgartnerstrasse 70,8003,Zürich,ZH,,https://www.alba.pizza.ch
Albanesi Pregiata Forneria,Bahnhofplatz 12,8001,Zürich,ZH,044 272 30 30,www.albanesigroup.ch
Albis Beck Fellenberg,Fellenbergstrasse 27,8047,Zürich,ZH,044 496 96 90,www.albisbeck.ch
Albis Beck Frankental,Konrad-Ilg-Strasse 4,8049,Zürich,ZH,044 496 96 96,www.albisbeck.ch
Alexi's,Niederdorfstrasse 40,8001,Zürich,ZH,41442523788,www.alexis-bar.ch
all about crêpe,Seestrasse 17,8002,Zürich,ZH,#ERROR!,www.allaboutcrepe.ch
Allegria (Gesundheitszentrum Käferberg),Emil-Klöti-Strasse 25,8037,Zürich,ZH,,
Allegro,Mutschellenstrasse 137,8038,Zürich,ZH,044 482 99 55,www.allegrorestaurant.ch
Almodobar,Bleicherweg 68,8002,Zürich,ZH,043 844 44 88,www.almodobar.com
Alnatura (nur Food Artikel / bediente Kassen,Kreuzplatz 20,8008,Zürich,ZH,058 563 28 20,www.alnatura.ch
Alnatura (nur Food Artikel / bediente Kassen,Löwenstrasse 31,8001,Zürich,ZH,044 210 26 80,www.alnatura.ch
Alnatura (nur Food Artikel / bediente Kassen,Limmatplatz,8005,Zürich,ZH,058 563 53 00,www.alnatura.ch
Alnatura (nur Food Artikel / bediente Kassen,Kappenbühlweg 5,8049,Zürich,ZH,044 340 04 83,www.alnatura.ch
Alnatura (nur Food Artikel / bediente Kassen,Baumackerstrasse 35,8050,Zürich,ZH,058 563 50 35,www.alnatura.ch
Alnatura (nur Food Artikel / bediente Kassen,"Zürich Hauptbahnhof, Passage Sihlquai / Aufgang Sihlpost",8001,Zürich,ZH,058 563 54 00,www.alnatura.ch
Alpenblick,Dock E,8060,Zürich-Flughafen,ZH,,
Alpenrose,Fabrikstrasse 12,8005,Zürich,ZH,044 431 11 66,www.restaurantalpenrose.ch
Alpine Garden,"Prime Center A11, G01",8060,Flughafen Zürich,ZH,078 222 71 54,www.capsulehotel.ch/
Alten Löwen,Universitätstrasse 111,8006,Zürich,ZH,043 343 11 69,www.altenloewen.ch
Alter Tobelhof,Tobelhofstrasse 236,8044,Zürich,ZH,"442,511,193",www.tobelhof.ch
Alterszentrum Mathysweg,Altstetterstrasse 261,8047,Zürich,ZH,,
Alterszentrum Trotte,Nordstrasse 349,8047,Zürich,ZH,,
Alterszentrum Wildbach,Wildbachstrasse 11,8008,Zürich,ZH,41443899300,
Altes Klösterli,Klosterweg 36,8044,Zürich,ZH,41442542640,
Altin Steakhouse,Bernerstrasse Nord 224,8064,Zürich,ZH,043 437 07 03,www.altin-steakhouse.ch
"Alumni quattro ""HIL""","Stefano-Franscini-Platz 5, ETH Zürich, Hönggerberg",8093,Zürich ETH-Hönggerberg,ZH,044 633 72 12,www.alumnilounge.ch
aMA,Albisriederstrasse 253,8047,Zürich,ZH,044 491 90 90,www.ama-chitiama.ch
Amalfi,Mainaustrasse 23,8008,Zürich,ZH,043 497 96 86,www.amalfi-zuerich.ch
Amboss Rampe - Spitzwerkrestaurant,Zollstrasse 80,8005,Zürich,ZH,043 558 20 00,https://www.ambossrampe.ch
Ambros,"Viaduktstrasse 37, Im Viadukt 25",8005,Zürich,ZH,043 960 36 06,www.ambrosi.ch
Ami,Schaffhauserstrasse 448,8050,Zürich,ZH,41433001420,www.cafeami.ch
Amigos & Tapas,Spitalgasse 5,8001,Zürich,ZH,044 261 03 03,
AMOeLino,Herostrasse 9,8048,Zürich,ZH,044 315 80 80,www.migros.ch
Amore Pizzeria Food + Drink,Schaffhauserstrasse 264,8057,Zürich,ZH,,www.amorepizza.ch
Amtshaus V,Werdmühleplatz 3,8001,Zürich,ZH,044 412 21 50,
Amtshaus VI,Lindenhofstrasse 19,8001,Zürich,ZH,044 412 20 12,
Amtshaus Walche,Walchestrasse 31,8006,Zürich,ZH,044 412 23 91,
Amy’s Fine Asian Kitchen,Flurstrasse 4,8048,Zürich,ZH,044 592 66 86,
An Chay,Zypressenstrasse 94,8004,Zürich,ZH,044 621 08 40,www.anchayzurich.com
Anan,"Zentralhof, Fraumünsterstrasse 25",8001,Zürich,ZH,,
Anemoia,Fabrikstrasse 23,8005,Zürich,ZH,043 321 31 56,www.anemoia.ch
Angkor,Giessereistrasse 18,8005,Zürich,ZH,41432052888,www.restaurant-angkor.ch
Anna,Anna-Heerstrasse 2,8057,Zürich,ZH,044 522 87 44,www.restaurant-anna.ch
anne,Limmatstrasse 254,8005,Zürich,ZH,,
Antica Roma,Sihlamtsstrasse 5,8001,Zürich,ZH,044 280 26 20,www.antica-roma.ch
Antonio,Hardturmstrasse 133,8005,Zürich,ZH,41438182388,
Anytime,Langstrasse 18,8004,Zürich,ZH,043 317 12 45,
Apollo,Ueberlandstrasse 14,8051,Zürich,ZH,41443116100,
apoTHEKE,Zürichbergstrasse 17,8032,Zürich,ZH,044 260 82 82,www.apotheke-zh.ch
Ararat,Bertastrasse 1,8003,Zürich,ZH,41444515222,
Arcade,Birmensdorferstrasse 67,8004,Zürich,ZH,41442412163,
Arche Brockenhaus,Hohlstrasse 489,8048,Zürich,ZH,41433363000,www.archezuerich.ch
Argentina,Thurgauerstrasse 36-38,8050,Zürich,ZH,41432999060,https://www.steakhouse-argentina.ch/de/p/standorte/orlikon-1078.html
Armando's Sihlcity,Kalanderplatz 4,8045,Zürich,ZH,043 344 99 18,
Arnold Kiosk,"Fraumünsterstrasse 1, Bürkliplatz",8001,Zürich,ZH,,
Asia,Check-in 1,8060,Zürich-Flughafen,ZH,41438166070,www.autogrill.ch
Asia,"Airport Shopping, Foodland",8060,Zürich-Flughafen,ZH,043 816 60 02,www.autogrill.ch
